"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"",31,-78.8161349110035,1.17226052708587,0.517570208394533,0.195206217974712,-0.375606313583171,-0.0892221471374562,-0.493278683114869,0.693390918170867,0.146290395802518,0.270729182424325,-0.272566032855762,0.0409046924647881,0.0638046466395883,-0.129784449532157,-0.169323199542606,0.105593131743621,1.30818245865754,0.582255217655326,0.734799127970997,-0.725220604303265
"",32,-77.9017801542758,1.18664195971765,0.524437698888281,0.199423879457366,-0.379427203791805,-0.0911575812479413,-0.49711466988792,0.706279691136738,0.147960110423322,0.273023667259864,-0.274725235487715,0.0459089759138609,0.0615280529462286,-0.133217471976815,-0.175035438767869,0.106051053778993,1.32122701263154,0.589644167010671,0.740549609804676,-0.728630969379392
"",33,-77.0308578821365,1.20064709471002,0.531123932696596,0.203511592119945,-0.383084494706869,-0.0930608472596908,-0.500787853315574,0.718961294900892,0.149597934783926,0.275237953056831,-0.276846474870969,0.0508855737607286,0.0592059857475333,-0.136565891235542,-0.180690490787752,0.106520766923847,1.33394752772005,0.596807571289739,0.746069344519584,-0.731852252543646
"",34,-76.200067025719,1.2142965392679,0.537637300826942,0.207473660680742,-0.386586122858884,-0.0949329998077211,-0.504309005567265,0.731443156631262,0.151205935944359,0.277378039240578,-0.278933302679302,0.055831432433721,0.0568425982018054,-0.139831732457383,-0.186288103310763,0.107002798035308,1.34636472430067,0.603756539258236,0.751373163826728,-0.734898545238262
"",35,-75.4064460232388,1.22760925308365,0.543985619617168,0.21131429027598,-0.389939501468711,-0.0967750528711952,-0.507688012952952,0.74373222372355,0.15278597573184,0.279449401031561,-0.280988823852352,0.0607439163564688,0.0544416791560471,-0.143017036508056,-0.191828150054889,0.107497496328257,1.3584974068334,0.610501434489798,0.756474614058277,-0.737782573800786
"",36,-74.647329409053,1.24060271816794,0.550176186082671,0.215037578976999,-0.393151570062138,-0.0985879810383539,-0.510933963997523,0.755835014040978,0.154339735447014,0.281457042938618,-0.28301575616825,0.0656207596858682,0.0520066921010847,-0.146123848222764,-0.197310617163745,0.108005062619232,1.37036268263636,0.617051942349561,0.761386097174373,-0.740515860677257
"",37,-73.9203109672325,1.25329308738761,0.556215826263766,0.21864751266581,-0.396228837884555,-0.100372720823756,-0.514055226891987,0.767757659180215,0.155868737130912,0.28340554580886,-0.285016481130341,0.0704600241937683,0.0495408091220599,-0.149154206687968,-0.202735591136876,0.108525573905898,1.38197615115942,0.623417129130186,0.766118993231583,-0.743108863291927
"",38,-73.2232123131835,1.26569531483855,0.562110937652073,0.222147961780466,-0.399177422038149,-0.102130172009519,-0.517059517860826,0.779505941888404,0.157374361933811,0.285299108342287,-0.286993087572597,0.0752600623725334,0.0470469405864558,-0.152110137214114,-0.208103248049147,0.109059004088469,1.39335206836291,0.629605494469295,0.770683767126145,-0.745571094118179
"",39,-72.5540559870556,1.27782327065765,0.567867526582756,0.225542679540894,-0.402003081108314,-0.103861198989693,-0.519953961723321,0.79108532855513,0.158857866032504,0.287141583831805,-0.288947409137327,0.0800194850050708,0.0445277611884898,-0.15499364472344,-0.213413843877801,0.109605241486153,1.40450348999028,0.635625017987992,0.775090061943549,-0.747911224863893
"",40,-71.9110423159541,1.28968984245158,0.573491241325742,0.228835301344337,-0.404711244919598,-0.105566632102621,-0.522745145715845,0.80250099754139,0.160320394465967,0.28893651276907,-0.290881056576884,0.0847371325688824,0.0419857328680038,-0.157806708326441,-0.218667705789679,0.110164103680013,1.41544239686739,0.641483200936829,0.779346780856055,-0.750137177177471
"",41,-71.292529439095,1.3013070251726,0.578987401485166,0.232029345081619,-0.407307040958392,-0.107247268940531,-0.525439167470976,0.813757863976761,0.16176299319736,0.290687151857863,-0.292795445667879,0.0894120499479567,0.0394231250393623,-0.160551276900166,-0.223865224267619,0.110735350116616,1.42617980483189,0.647187103510528,0.783462159192268,-0.752256201871225
"",42,-70.6970159993103,1.31268600098538,0.584361024215842,0.235128212174842,-0.409795317914955,-0.108903875628911,-0.528041677909552,0.824860601549684,0.16318661965962,0.292396499895285,-0.294691821393818,0.0940434640110426,0.0368420324977708,-0.163229265513381,-0.229006845975932,0.111318692829128,1.43672586146707,0.652743378390288,0.787443828043092,-0.75427494832643
"",43,-70.1231260918113,1.32383721043338,0.589616847683789,0.238135189176419,-0.412180666727592,-0.110537188070717,-0.530557919686992,0.835813661728943,0.164592152000407,0.294067320913419,-0.296571278943971,0.0986307636840584,0.034244391314051,-0.165842552569433,-0.234093067281375,0.111913805569976,1.44708993146435,0.658158300987903,0.791298870554807,-0.756199525473203
"",44,-69.5695961316205,1.33477041601766,0.594759352130754,0.241053449800729,-0.414467439453968,-0.112147913152322,-0.532992761740387,0.846621290783319,0.165980397208037,0.295702164917765,-0.298434781987581,0.103173482201207,0.0316319929820567,-0.168392977558614,-0.239124428359183,0.112520331598675,1.45728067215171,0.663437796795885,0.795033871883495,-0.758035555516083
"",45,-69.0352633581515,1.34549475913828,0.599792778847557,0.243886057284818,-0.416659766246445,-0.113736729909482,-0.5353507304041,0.857287544907793,0.167352098271787,0.297303386511501,-0.300283178609622,0.107671281266249,0.029006497043814,-0.170882339328965,-0.244101507824257,0.113137890327366,1.46730610048925,0.668587466189399,0.798654963638668,-0.759788221393233
