"","grid","radius_mean","texture_mean","smoothness_mean","compactness_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","smoothness_se","compactness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","smoothness_worst","concave.points_worst","symmetry_worst","fractal_dimension_worst","the intercept"
"57",0.00765246643940301,2.1503007028807,0.932849000268156,0,0,0,0,1.48297748631425,0,0,-0.0543246147913139,0,0,-0.00296372255012994,-0.239942130803535,0.599928182156617,1.9475675957077,0.517110832627711,0,-0.538971747082739
"58",0.00711567952907647,2.18900150983058,0.959657718592547,0,0,0,0,1.54993731150478,0,0,-0.0768484426128772,0,0,-0.0313111809689184,-0.237627551315671,0.612679754134236,1.98303994210972,0.547391662701368,0,-0.547130324676332
"59",0.00661654586288757,2.22884089817339,0.986526827775971,0,0,0,0,1.61727952957351,0,0,-0.0987600481961041,0,0,-0.0593042664090386,-0.23586216960205,0.625936172892706,2.0184828681006,0.577296136382314,0,-0.554954004798451
"60",0.00615242423113686,2.26969479957568,1.01344820323856,0,0,0,0,1.6851196723064,0,0,-0.120025590119063,0,0,-0.0869908920520444,-0.234696007350692,0.639661414732236,2.05386699842579,0.606855204985191,0,-0.562421824749296
"61",0.00572085869338487,2.31144300969232,1.04041309641547,0,0,0,0,1.75355099673273,0,0,-0.140610403854924,0,0,-0.114410599674237,-0.234176239219177,0.653819560498968,2.08916708434961,0.636096905684386,0,-0.56951647642228
"62",0.00531956558262718,2.35396959572334,1.06741194967451,0,0,0,0,1.8226420870205,0,0,-0.16048070849476,0,0,-0.141594290177953,-0.234345700207122,0.668374956041133,2.12436158232682,0.665045716390486,0,-0.576225037185776
"63",0.0049464214210697,2.39716337097117,1.09443415208991,0,0,0,0,1.89243432790552,0,0,-0.179605294007115,0,0,-0.168563891406892,-0.235241397609048,0.68329235309099,2.15943219758239,0.693721833401422,0,-0.582539691356416
"64",0.00459945168355901,2.42597315380765,1.11918047406744,0,0,0,-0.0233034933133208,1.96240312792955,0,0,-0.196471406536736,0,0,-0.195464925905532,-0.228034015667738,0.704806333712742,2.19985184200046,0.72473017932085,0,-0.590765617481906
"65",0.00427682034920893,2.4553398216905,1.14395516059249,0,0,0,-0.0465570838501686,2.03271597107806,0,0,-0.212785258618313,0,0,-0.222000904564614,-0.221509616985662,0.726574086699144,2.24027280580884,0.755450448586014,0,-0.598695353184652
"66",0.00397682018593443,2.48551635960494,1.16879481280792,0,0,0,-0.0691977246344674,2.10333075329518,0,0,-0.228563191925043,0,0,-0.248169741886518,-0.215881155470693,0.748407961023311,2.28053896207872,0.785818496627995,0,-0.606279035588738
"67",0.00369786371648293,2.51641528573216,1.19368073483906,0,0,0,-0.0911931435789386,2.17417710685148,0,0,-0.243787898889746,0,0,-0.273969028748944,-0.211156329267367,0.770262075692255,2.32061727422538,0.815824855398612,0,-0.613521867691914
"68",0.00343847481815876,2.54579496802675,1.21778523746525,0,0,-0.0075311666992911,-0.111569133516033,2.24817888919113,0,0,-0.258021681877433,0,0,-0.297396562380425,-0.208450025771075,0.792084314229174,2.36249388157345,0.847951496819593,0,-0.619794307411522
"69",0.00319728091179005,2.56871232531742,1.23941322732706,0,0,-0.0386229379683099,-0.128457197092245,2.33180768751168,0,0,-0.270312209095595,0,0,-0.314279815477805,-0.21014025128215,0.81375902430708,2.4108258669277,0.887489220395649,0,-0.623772311986361
"70",0.00297300569860536,2.59867358430236,1.26268641056263,0,0,-0.0678932460595534,-0.13743342454119,2.4158384724767,0,0,-0.296331461549187,0.0324834558462515,0,-0.334724424808185,-0.22515794026468,0.835751472937274,2.44920423664465,0.928808682082544,0,-0.627621840576876
"71",0.00276446240658642,2.63303640943727,1.28712662236246,0,0,-0.0950657720787877,-0.142676006536674,2.50007000559976,0,0,-0.327048220266737,0.079860971352591,-0.00279496910855547,-0.356021267374787,-0.247494850509288,0.858337700219152,2.4842985994403,0.969073460981802,0,-0.63113248046874
"72",0.00257054751055962,2.66585067398072,1.31177183675291,0,0,-0.115750639941891,-0.152917270672745,2.58657061949459,0,0,-0.354946557385244,0.131550174907344,-0.0337049764509639,-0.367687244860926,-0.2626048166997,0.882429355627885,2.53750455678376,0.994151094316543,0,-0.630166329300938
"73",0.0023902348927955,2.69939490182959,1.33661634263658,0,0,-0.135895744419882,-0.163185291704974,2.67209414253831,0,0,-0.380937558521085,0.179097328492731,-0.0631663976896642,-0.379290284020211,-0.277611943701639,0.906463092168008,2.59079647453543,1.01899449361527,0,-0.629423080620325
